sector_id,analysis_period,stock_code,factor_change,change_direction,change_magnitude,event_based,events_count,total_events,confidence_level,analysis_method,possible_reason_1,possible_reason_2,possible_reason_3,analysis_timestamp
core_sector_0,2023-10-10_to_2023-11-21,001979.SZ,-0.104774256098076,下降,medium,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,市场需求出现季节性波动,,2025-11-11 23:24:51
core_sector_0,2023-10-10_to_2023-11-21,002142.SZ,-0.10532077976543619,下降,medium,False,15,0,中,规则引擎归因,市场需求出现季节性波动,原材料成本大幅上升，利润率受到挤压,,2025-11-11 23:25:07
core_sector_0,2023-10-31_to_2023-12-12,000568.SZ,-0.08406206378517789,下降,low,False,15,0,中,规则引擎归因,原材料成本大幅上升，利润率受到挤压,行业周期性调整影响业绩表现,,2025-11-11 23:25:13
core_sector_0,2023-10-31_to_2023-12-12,600515.SH,-0.11927035252476414,下降,medium,False,15,0,中,规则引擎归因,市场需求出现季节性波动,汇率波动对海外业务造成负面影响,,2025-11-11 23:25:17
core_sector_0,2023-10-31_to_2023-12-12,600919.SH,0.08181496694303414,上升,low,False,15,0,中,规则引擎归因,管理效率提升，运营成本下降,新产品成功上市，收入来源更加多元化,,2025-11-11 23:25:23
core_sector_0,2023-11-21_to_2024-01-03,600015.SH,-0.1434068112245963,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,行业周期性调整影响业绩表现,,2025-11-11 23:25:34
core_sector_0,2023-11-21_to_2024-01-03,600515.SH,-0.10504633272432207,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,行业周期性调整影响业绩表现,,2025-11-11 23:25:43
core_sector_0,2023-11-21_to_2024-01-03,600919.SH,0.09349018243920182,上升,low,False,15,0,中,规则引擎归因,成本控制成效显著，利润率明显提升,管理效率提升，运营成本下降,,2025-11-11 23:25:50
core_sector_0,2023-11-21_to_2024-01-03,600926.SH,0.10044316079487792,上升,medium,False,15,0,中,规则引擎归因,新产品成功上市，收入来源更加多元化,成本控制成效显著，利润率明显提升,,2025-11-11 23:25:56
core_sector_0,2023-12-12_to_2024-01-24,600015.SH,-0.12046514654594542,下降,medium,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,市场需求出现季节性波动,,2025-11-11 23:26:03
core_sector_0,2023-12-12_to_2024-01-24,600919.SH,0.0959274163651258,上升,low,False,15,0,中,规则引擎归因,经营状况持续改善，市场份额稳步扩大,成本控制成效显著，利润率明显提升,,2025-11-11 23:26:10
core_sector_0,2024-04-08_to_2024-05-23,600926.SH,-0.1097300027193523,下降,medium,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,汇率波动对海外业务造成负面影响,,2025-11-11 23:26:20
core_sector_0,2024-04-29_to_2024-06-14,000166.SZ,-0.09755477038862914,下降,low,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,原材料成本大幅上升，利润率受到挤压,,2025-11-11 23:26:27
core_sector_0,2024-04-29_to_2024-06-14,002304.SZ,-0.13853942605293912,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,行业周期性调整影响业绩表现,,2025-11-11 23:26:33
core_sector_0,2024-04-29_to_2024-06-14,002736.SZ,-0.12326007101984782,下降,medium,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,市场需求出现季节性波动,,2025-11-11 23:26:40
core_sector_0,2024-04-29_to_2024-06-14,600519.SH,-0.08200945524025882,下降,low,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,市场需求出现季节性波动,,2025-11-11 23:26:46
core_sector_0,2024-05-23_to_2024-07-05,000166.SZ,-0.13407586759801138,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,市场需求出现季节性波动,,2025-11-11 23:26:55
core_sector_0,2024-05-23_to_2024-07-05,000776.SZ,-0.10121698310355809,下降,medium,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,汇率波动对海外业务造成负面影响,,2025-11-11 23:27:06
core_sector_0,2024-05-23_to_2024-07-05,002304.SZ,-0.16267482558983226,下降,medium,False,15,0,中,规则引擎归因,市场需求出现季节性波动,原材料成本大幅上升，利润率受到挤压,,2025-11-11 23:27:12
core_sector_0,2024-05-23_to_2024-07-05,002736.SZ,-0.21831562409791394,下降,high,False,15,0,高,规则引擎归因,财报业绩不及预期，盈利大幅下滑27.2%,市场竞争激烈，市场份额严重流失,,2025-11-11 23:27:18
core_sector_0,2024-05-23_to_2024-07-05,600030.SH,-0.08644213233863551,下降,low,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,汇率波动对海外业务造成负面影响,,2025-11-11 23:27:25
core_sector_0,2024-05-23_to_2024-07-05,600519.SH,-0.13676862503122889,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,原材料成本大幅上升，利润率受到挤压,,2025-11-11 23:27:30
core_sector_0,2024-06-14_to_2024-07-26,000001.SZ,-0.08579616492476627,下降,low,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,市场需求出现季节性波动,,2025-11-11 23:27:38
core_sector_0,2024-06-14_to_2024-07-26,002736.SZ,-0.12307889099168567,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,市场需求出现季节性波动,,2025-11-11 23:27:44
core_sector_0,2024-06-14_to_2024-07-26,600016.SH,-0.08141391264402298,下降,low,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,行业周期性调整影响业绩表现,,2025-11-11 23:27:51
core_sector_0,2024-06-14_to_2024-07-26,600030.SH,-0.10556208090714025,下降,medium,False,15,0,中,规则引擎归因,原材料成本大幅上升，利润率受到挤压,市场需求出现季节性波动,,2025-11-11 23:27:59
core_sector_0,2024-06-14_to_2024-07-26,600036.SH,-0.10162559703607177,下降,medium,False,15,0,中,规则引擎归因,汇率波动对海外业务造成负面影响,市场需求出现季节性波动,,2025-11-11 23:28:10
core_sector_0,2024-06-14_to_2024-07-26,600585.SH,-0.12264499722234212,下降,medium,False,15,0,中,规则引擎归因,原材料成本大幅上升，利润率受到挤压,汇率波动对海外业务造成负面影响,,2025-11-11 23:28:15
core_sector_0,2024-07-05_to_2024-08-16,600000.SH,-0.08060948431061099,下降,low,False,15,0,中,规则引擎归因,行业周期性调整影响业绩表现,原材料成本大幅上升，利润率受到挤压,,2025-11-11 23:28:20
core_sector_0,2024-07-05_to_2024-08-16,600016.SH,-0.09095243528904828,下降,low,False,15,0,中,规则引擎归因,市场需求出现季节性波动,汇率波动对海外业务造成负面影响,,2025-11-11 23:28:26
